Key,Value
4/30/2018 12:00:00 AM,2
5/1/2018 12:00:00 AM,2
5/2/2018 12:00:00 AM,4
5/3/2018 12:00:00 AM,16
5/4/2018 12:00:00 AM,42
5/5/2018 12:00:00 AM,119
5/6/2018 12:00:00 AM,72
5/7/2018 12:00:00 AM,72
5/8/2018 12:00:00 AM,54
5/9/2018 12:00:00 AM,63
5/10/2018 12:00:00 AM,69
5/11/2018 12:00:00 AM,55
5/12/2018 12:00:00 AM,79
5/13/2018 12:00:00 AM,34
5/14/2018 12:00:00 AM,25
5/15/2018 12:00:00 AM,16
5/16/2018 12:00:00 AM,20
5/17/2018 12:00:00 AM,18
5/18/2018 12:00:00 AM,17
5/19/2018 12:00:00 AM,13
5/20/2018 12:00:00 AM,17
5/21/2018 12:00:00 AM,20
5/22/2018 12:00:00 AM,8
5/23/2018 12:00:00 AM,4
5/24/2018 12:00:00 AM,0
5/25/2018 12:00:00 AM,0
5/26/2018 12:00:00 AM,0
5/27/2018 12:00:00 AM,0
5/28/2018 12:00:00 AM,0
5/29/2018 12:00:00 AM,0
5/30/2018 12:00:00 AM,0
5/31/2018 12:00:00 AM,0
6/1/2018 12:00:00 AM,0
6/2/2018 12:00:00 AM,14
6/3/2018 12:00:00 AM,9
6/4/2018 12:00:00 AM,15
6/5/2018 12:00:00 AM,22
6/6/2018 12:00:00 AM,20
6/7/2018 12:00:00 AM,4
6/8/2018 12:00:00 AM,8
6/9/2018 12:00:00 AM,9
6/10/2018 12:00:00 AM,9
6/11/2018 12:00:00 AM,11
6/12/2018 12:00:00 AM,4
6/13/2018 12:00:00 AM,9
6/14/2018 12:00:00 AM,10
6/15/2018 12:00:00 AM,15
6/16/2018 12:00:00 AM,6
6/17/2018 12:00:00 AM,7
6/18/2018 12:00:00 AM,7
6/19/2018 12:00:00 AM,5
6/20/2018 12:00:00 AM,6
6/21/2018 12:00:00 AM,3
6/22/2018 12:00:00 AM,3
6/23/2018 12:00:00 AM,10
6/24/2018 12:00:00 AM,2
6/25/2018 12:00:00 AM,0
6/26/2018 12:00:00 AM,0
6/27/2018 12:00:00 AM,0
6/28/2018 12:00:00 AM,0
6/29/2018 12:00:00 AM,0
6/30/2018 12:00:00 AM,0
7/1/2018 12:00:00 AM,0
7/2/2018 12:00:00 AM,20
7/3/2018 12:00:00 AM,8
7/4/2018 12:00:00 AM,29
7/5/2018 12:00:00 AM,3
7/6/2018 12:00:00 AM,9
7/7/2018 12:00:00 AM,33
7/8/2018 12:00:00 AM,42
7/9/2018 12:00:00 AM,12
7/10/2018 12:00:00 AM,27
7/11/2018 12:00:00 AM,3
7/12/2018 12:00:00 AM,12
7/13/2018 12:00:00 AM,50
7/14/2018 12:00:00 AM,38
7/15/2018 12:00:00 AM,40
7/16/2018 12:00:00 AM,10
7/17/2018 12:00:00 AM,20
7/18/2018 12:00:00 AM,42
7/19/2018 12:00:00 AM,32
7/20/2018 12:00:00 AM,27
7/21/2018 12:00:00 AM,32
7/22/2018 12:00:00 AM,27
7/23/2018 12:00:00 AM,16
7/24/2018 12:00:00 AM,26
7/25/2018 12:00:00 AM,6
7/26/2018 12:00:00 AM,0
7/27/2018 12:00:00 AM,5
7/28/2018 12:00:00 AM,0
7/29/2018 12:00:00 AM,0
7/30/2018 12:00:00 AM,0
7/31/2018 12:00:00 AM,0
8/1/2018 12:00:00 AM,22
8/2/2018 12:00:00 AM,18
8/3/2018 12:00:00 AM,44
8/4/2018 12:00:00 AM,187
8/5/2018 12:00:00 AM,339
8/6/2018 12:00:00 AM,494
8/7/2018 12:00:00 AM,662
8/8/2018 12:00:00 AM,668
8/9/2018 12:00:00 AM,974
8/10/2018 12:00:00 AM,1104
8/11/2018 12:00:00 AM,1812
8/12/2018 12:00:00 AM,4936
8/13/2018 12:00:00 AM,2950
8/14/2018 12:00:00 AM,601
8/15/2018 12:00:00 AM,357
8/16/2018 12:00:00 AM,407
8/17/2018 12:00:00 AM,225
8/18/2018 12:00:00 AM,55
8/19/2018 12:00:00 AM,21
8/20/2018 12:00:00 AM,25
8/21/2018 12:00:00 AM,18
8/22/2018 12:00:00 AM,10
